acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
34,C_34,I,A,USD,false,1,0,1000000,61343.35,,bank,Anthony,Terry,50239 Salazar Squares,Kelseystad,TX,US,60570,Male,1997-11-05,665-71-7056,131.900598,32.0313925
35,C_35,I,A,USD,false,1,0,1000000,90007.30,,bank,Jesse,Morgan,54000 Michael Highway Apt. 216,New Randy,ND,US,29464,Male,1921-03-08,621-11-5227,-6.628825,53.8548715
36,C_36,I,A,USD,false,1,0,1000000,89970.50,,bank,Hailey,Marquez,0803 Miller Ways Suite 334,Larryfurt,IN,US,63688,Female,1913-04-24,314-71-1186,-175.056245,33.730239
37,C_37,I,A,USD,false,1,0,1000000,79124.72,,bank,Danielle,Robinson,67771 Christopher Courts Apt. 637,Port Ronaldfurt,WV,US,24144,Female,2021-08-22,892-36-5769,-8.417671,26.7274635
38,C_38,I,A,USD,true,1,0,1000000,72121.69,,bank,Jason,Robinson,834 Palmer Mountain Suite 430,New Kristenville,AR,US,96561,Male,2007-06-08,676-01-8775,96.640487,24.962750
39,C_39,I,A,USD,false,1,0,1000000,72442.82,,bank,Eric,Murphy,4195 Emily Squares,Jeffreybury,UT,US,68416,Male,1958-01-17,644-62-4700,132.491298,-43.994894
40,C_40,I,A,USD,false,1,0,1000000,70798.81,,bank,Brandy,Clark,855 Lisa Wells,Mooreburgh,HI,US,10522,Female,2012-09-14,509-73-3498,-53.665758,-54.531998
41,C_41,I,A,USD,false,1,0,1000000,97577.93,,bank,Robert,Mclaughlin,9927 Christina Burg Suite 774,East Angelaburgh,NJ,US,65342,Male,1981-07-27,322-91-1291,-40.865448,-53.1050825
42,C_42,I,A,USD,false,1,0,1000000,53933.01,,bank,Mary,Perez,4603 Leslie Summit,West Michelle,NJ,US,95632,Female,1954-02-04,688-21-4996,-170.885800,5.659097
43,C_43,I,A,USD,false,1,0,1000000,98240.77,,bank,Austin,Brown,250 Burton Burg,North Alexander,OK,US,43318,Male,1997-08-15,433-18-3548,61.037241,26.826649
44,C_44,I,A,USD,false,1,0,1000000,63653.33,,bank,Brenda,Melton,56606 Ferguson Unions Suite 091,Finleyburgh,DC,US,66109,Female,1977-03-14,861-94-2428,-137.239617,-1.4026065
45,C_45,I,A,USD,false,1,0,1000000,75736.41,,bank,Andrew,Peterson,02821 Pennington Rapid,New Courtneyberg,KS,US,79402,Male,2007-09-12,751-49-0447,155.954579,-80.251485
46,C_46,I,A,USD,false,1,0,1000000,68646.01,,bank,Krista,Madden,2738 Martin Terrace Suite 547,Smithhaven,VI,US,38279,Female,2012-06-12,545-74-9046,-39.100063,-79.7186935
47,C_47,I,A,USD,false,1,0,1000000,50687.14,,bank,Zachary,Gill,5700 Singh Bypass,Erinshire,CA,US,38482,Male,2011-01-16,542-67-5576,27.270695,-22.7210085
48,C_48,I,A,USD,false,1,0,1000000,86651.57,,bank,Frank,Patton,98522 Mathis Viaduct Apt. 909,West Michael,SD,US,38960,Male,1989-01-04,442-22-0017,-104.430728,62.6331415
49,C_49,I,A,USD,true,1,0,1000000,89135.94,,bank,Amy,Fowler,0749 Chad Manors,Stephanieburgh,KY,US,22764,Female,1986-02-24,113-65-8904,144.831420,13.266782
50,C_50,I,A,USD,false,1,0,1000000,72213.16,,bank,Rachel,Miles,4064 Medina Plaza Suite 536,Port Adam,HI,US,20860,Female,2013-08-14,577-50-5914,69.178202,-80.2372265
51,C_51,I,A,USD,false,1,0,1000000,60511.57,,bank,Theresa,House,930 Rice Estate Apt. 570,New Patricia,RI,US,24767,Female,1917-11-10,587-58-3879,61.406191,46.6065415
52,C_52,I,A,USD,false,1,0,1000000,63002.92,,bank,Lauren,Gomez,514 Travis Track Suite 366,Rowefurt,CA,US,05536,Female,1984-08-31,130-73-4561,-3.844152,-83.476675
53,C_53,I,A,USD,true,1,0,1000000,62749.07,,bank,Taylor,Joyce,19550 James Creek,Williamstown,CT,US,51966,Male,2011-05-03,651-36-6659,-103.693490,69.8971105
54,C_54,I,A,USD,false,1,0,1000000,98105.52,,bank,Robert,Miller,022 Renee Squares Apt. 808,Herringstad,WY,US,77293,Male,1930-12-29,833-34-3304,-39.895752,-1.9697705
55,C_55,I,A,USD,true,1,0,1000000,84735.69,,bank,Robin,Boyd,8727 Benjamin Prairie Apt. 805,East Deborahmouth,KS,US,31790,Female,2003-10-27,342-84-2210,75.811232,59.2286655
56,C_56,I,A,USD,false,1,0,1000000,68179.88,,bank,William,Hensley,501 Ronald Knoll,Rogersfurt,HI,US,47956,Male,1923-06-06,140-41-0373,-81.967761,-56.4187505
57,C_57,I,A,USD,false,1,0,1000000,74652.77,,bank,Peter,Chambers,60460 Michael Village,South Brianstad,MS,US,81783,Male,1983-11-04,870-59-6754,-83.005530,-81.762098
58,C_58,I,A,USD,false,1,0,1000000,97111.38,,bank,Shannon,Nichols,61511 Michael Fall Suite 905,Gibbsfort,ME,US,11045,Female,1961-12-16,810-34-0456,167.890933,48.4764645
59,C_59,I,A,USD,false,1,0,1000000,51067.89,,bank,Christopher,Kelley,5170 Regina Road,Susantown,WA,US,44762,Male,1927-03-31,165-23-2605,163.661827,-24.8825485
60,C_60,I,A,USD,false,1,0,1000000,84707.30,,bank,Krystal,Smith,34523 Perez Wells,Fordshire,MT,US,51161,Female,1986-09-09,006-88-6389,-87.678450,-50.0356465
61,C_61,I,A,USD,false,1,0,1000000,55069.67,,bank,Tammy,Cox,000 Ashley Drive Apt. 606,Bradleymouth,VT,US,33001,Female,1936-09-28,547-52-1197,-110.315429,19.456834
62,C_62,I,A,USD,true,1,0,1000000,83732.75,,bank,Alex,Carr,66376 Sabrina Garden Suite 691,Whitneyhaven,OH,US,71586,Male,1971-11-04,898-31-4527,-158.361904,74.005087
63,C_63,I,A,USD,false,1,0,1000000,76407.42,,bank,John,Moore,180 Jennifer Burg Suite 661,Munozburgh,NC,US,45130,Male,1945-11-13,781-65-1844,17.720148,2.723188
64,C_64,I,A,USD,false,1,0,1000000,50082.14,,bank,Monica,Reed,8034 Jennifer Islands Suite 604,Johnsonchester,RI,US,49674,Female,1925-03-29,113-79-5849,-91.009336,-81.6178835
65,C_65,I,A,USD,false,1,0,1000000,52517.33,,bank,Noah,Moran,1168 Gary Fords Apt. 308,Port Trevor,VI,US,82204,Male,1952-11-14,701-16-6699,-39.464104,-47.5013815
66,C_66,I,A,USD,false,1,0,1000000,90804.48,,bank,Melinda,Moore,268 Young Lane Suite 678,Tamichester,DE,US,13308,Female,1907-12-04,598-77-8473,-122.654707,83.7732945
67,C_67,I,A,USD,false,1,0,1000000,67761.01,,bank,Melissa,Estrada,9261 Alex Lake,Floresmouth,OH,US,77080,Female,2017-10-12,795-30-2606,121.530876,58.0772915
68,C_68,I,A,USD,false,1,0,1000000,81377.43,,bank,Kevin,Gillespie,202 Franklin Fords,Ericksonfurt,IN,US,03275,Male,1930-07-29,452-73-0880,21.352418,-66.7011465
69,C_69,I,A,USD,false,1,0,1000000,50567.74,,bank,Eric,Lynch,3870 Harvey Grove Suite 867,Herbertside,OH,US,21412,Male,1926-10-21,468-09-1123,76.684375,15.560639
70,C_70,I,A,USD,false,1,0,1000000,89530.07,,bank,Adam,Atkins,147 Lisa Hill Apt. 512,Port Elizabethshire,AK,US,26519,Male,1983-03-28,717-97-9859,83.252140,-61.2654545
71,C_71,I,A,USD,false,1,0,1000000,50369.88,,bank,Darrell,Richardson,74430 Kelly Pass,Christopherport,CO,US,55851,Male,1959-02-17,882-98-2384,-55.645210,-12.716698
72,C_72,I,A,USD,false,1,0,1000000,94290.68,,bank,Wendy,Delacruz,65873 Chen Knolls,Ramirezfurt,MP,US,94134,Female,1972-07-18,299-16-7308,-97.178993,2.345970
73,C_73,I,A,USD,false,1,0,1000000,95321.99,,bank,Samantha,Reynolds,7879 Emma Parkway Suite 735,North Thomasfurt,VI,US,30303,Female,1913-11-15,590-99-0663,38.239551,-64.907138
74,C_74,I,A,USD,false,1,0,1000000,85691.61,,bank,Joseph,Howell,12503 Alan Place Apt. 219,North Joyce,LA,US,00696,Male,1963-10-06,069-69-2903,-54.210645,-29.0786485
75,C_75,I,A,USD,false,1,0,1000000,90906.82,,bank,Christina,Romero,7298 Johnathan Cove Apt. 402,South Jamie,NJ,US,42383,Female,1923-08-20,574-14-7777,-113.134218,46.632809
76,C_76,I,A,USD,false,1,0,1000000,53369.68,,bank,Jeremy,Ward,73576 Sergio Avenue Suite 736,West Thomas,FL,US,30419,Male,1973-06-04,614-20-8559,-132.993453,-39.639688
77,C_77,I,A,USD,false,1,0,1000000,95122.21,,bank,Carol,Williams,25059 Katie Mountain,Byrdchester,SC,US,25673,Female,2016-05-21,791-44-8535,-79.259848,-1.939347
78,C_78,I,A,USD,false,1,0,1000000,95387.76,,bank,Lisa,Guerrero,97939 Johnson Oval Suite 830,North Dennismouth,NE,US,88870,Female,1922-02-05,883-97-8450,48.453322,83.3362645
79,C_79,I,A,USD,false,1,0,1000000,93633.26,,bank,Colleen,Wilson,573 Nathan Ville Suite 767,Meghanmouth,UT,US,19714,Female,1928-06-15,404-60-8858,-67.246382,8.751045
80,C_80,I,A,USD,false,1,0,1000000,59272.05,,bank,Kimberly,Jones,3169 Fernandez Roads,Lake Derekfort,MA,US,50327,Female,1989-07-29,749-64-0251,-70.501675,22.5666445
81,C_81,I,A,USD,false,1,0,1000000,94429.59,,bank,Paul,Pennington,1039 Brianna Passage Suite 274,New Sergiobury,WA,US,50840,Male,1938-04-30,844-76-4324,-132.230743,-78.1862705
82,C_82,I,A,USD,false,1,0,1000000,92319.97,,bank,Brian,Carter,87656 Darryl Rest Apt. 201,Wrightview,IN,US,50871,Male,1991-02-12,823-82-3106,110.832775,55.4708345
83,C_83,I,A,USD,false,1,0,1000000,72217.51,,bank,Brian,Jones,70452 Forbes Courts,Mosesland,IN,US,75278,Male,1987-01-14,132-63-0568,99.294128,-30.033766
84,C_84,I,A,USD,false,1,0,1000000,59592.95,,bank,Daniel,Clayton,36397 Moore Stravenue,Terriside,AZ,US,26819,Male,1924-09-26,284-72-0008,-135.288317,87.2444515
85,C_85,I,A,USD,false,1,0,1000000,84852.58,,bank,Joseph,Ortiz,501 Kelly Crescent Apt. 438,Michelleland,TX,US,66394,Male,1918-03-12,608-60-5311,-86.512221,-10.3909235
86,C_86,I,A,USD,false,1,0,1000000,73924.98,,bank,Kellie,Green,400 Danielle Grove Apt. 558,Brandonbury,AZ,US,91244,Female,1914-11-21,805-50-6859,-29.205819,66.3444015
87,C_87,I,A,USD,false,1,0,1000000,79159.90,,bank,Tanner,Horne,771 Brooks Pike Apt. 376,East Christopherville,DE,US,24437,Male,1909-04-28,772-47-8610,42.213352,-56.563659
88,C_88,I,A,USD,false,1,0,1000000,98628.89,,bank,Kristen,Wright,4667 Frank Walk Suite 332,Port Kevin,FL,US,24917,Female,1910-12-18,186-30-6839,-95.794972,-24.676682
89,C_89,I,A,USD,false,1,0,1000000,63074.60,,bank,Christopher,Wagner,238 Lindsey Walks,Lake Stevenborough,FM,US,54508,Male,1936-03-04,395-69-8621,84.775253,-62.3415195
90,C_90,I,A,USD,false,1,0,1000000,71098.81,,bank,David,Jones,010 Julie Mission,Tracistad,NJ,US,52444,Male,2010-12-20,162-76-3976,-67.312458,-77.8275285
91,C_91,I,A,USD,false,1,0,1000000,79032.78,,bank,Adam,Hernandez,173 Mckinney Trace,New Courtney,HI,US,38401,Male,1998-01-05,367-47-4872,89.375174,82.243571
92,C_92,I,A,USD,false,1,0,1000000,74152.17,,bank,Lindsey,Foster,73965 Turner Dam,Cardenasmouth,NY,US,84106,Female,1961-11-13,713-65-4881,123.176264,-26.852995
93,C_93,I,A,USD,true,1,0,1000000,77289.73,,bank,Cheyenne,Scott,8282 Stark Green,Turnerhaven,FM,US,96119,Female,2001-05-08,071-03-3298,140.613752,-62.293694
94,C_94,I,A,USD,false,1,0,1000000,66364.40,,bank,Tonya,Young,29259 Smith Shoals,North Cathyburgh,MD,US,41186,Female,2019-04-17,512-95-5952,10.437815,-66.4282795
95,C_95,I,A,USD,false,1,0,1000000,74921.19,,bank,Jon,Hernandez,020 Gomez Fords,Gonzalezburgh,GU,US,23938,Male,1987-09-30,518-53-9615,156.871047,-29.1478725
96,C_96,I,A,USD,false,1,0,1000000,77370.04,,bank,Derrick,Brewer,052 Werner Shoals,Toddfort,MS,US,43831,Male,1969-09-05,824-97-2615,-122.192723,47.5544015
97,C_97,I,A,USD,true,1,0,1000000,51591.34,,bank,Deborah,Glover,762 Miranda Spur Apt. 912,Phillipsville,MN,US,56307,Female,1993-09-19,365-66-8783,-139.879202,-87.831856
98,C_98,I,A,USD,false,1,0,1000000,88949.00,,bank,Anthony,Gutierrez,16670 Welch Dam,Lake Philipshire,NH,US,30007,Male,1911-01-05,049-77-6544,-108.871873,60.395921
99,C_99,I,A,USD,false,1,0,1000000,97715.52,,bank,Melinda,Hancock,6807 Ann Crossroad Apt. 921,Robertsview,MI,US,53341,Female,1914-04-09,537-09-0169,163.317669,-13.5879675
100,C_100,I,A,USD,false,1,0,1000000,68393.34,,bank,Jacqueline,King,215 Joy Islands,West Beth,UT,US,11791,Female,1952-05-31,699-63-7710,107.603060,51.3168015
101,C_101,I,A,USD,false,1,0,1000000,56058.86,,bank,Maria,Wilson,6687 Stone Forges Apt. 685,North Douglas,WV,US,50838,Female,1916-07-10,537-35-9262,-17.484919,4.5519355
102,C_102,I,A,USD,false,1,0,1000000,98929.48,,bank,Jessica,Montgomery,538 Jessica Tunnel Suite 580,New Chase,PA,US,48734,Female,1981-07-13,025-67-8320,-120.057862,-79.192981
103,C_103,I,A,USD,true,1,0,1000000,86399.92,,bank,John,Swanson,2547 Avila Manor,Port Deborahbury,OK,US,86285,Male,1954-02-09,700-93-2634,-156.542627,38.9126305
104,C_104,I,A,USD,false,1,0,1000000,80478.67,,bank,Veronica,Bradley,4973 Jasmine Road,New Scott,IL,US,43461,Female,1992-10-17,148-66-7038,30.153492,-26.3195415
105,C_105,I,A,USD,false,1,0,1000000,96992.68,,bank,Carrie,Bush,34389 Dunlap Freeway Suite 925,East Megan,IN,US,72641,Female,1988-06-06,118-58-7862,-70.041018,-41.273156
106,C_106,I,A,USD,false,1,0,1000000,55467.18,,bank,Alex,Lee,187 Kelly Groves,West Megan,CT,US,96297,Male,1934-01-24,619-21-9130,66.066109,-68.2740245
107,C_107,I,A,USD,false,1,0,1000000,99235.77,,bank,Jaime,Shah,765 Brown Crescent Apt. 524,Parkerchester,AZ,US,63640,Female,1919-06-17,744-11-1495,91.726973,-85.2943775
108,C_108,I,A,USD,true,1,0,1000000,69923.27,,bank,Tyler,Ibarra,919 Andrew Turnpike Apt. 419,Mckinneyshire,KS,US,70128,Male,1945-01-19,303-21-3010,136.954610,-29.329344
109,C_109,I,A,USD,false,1,0,1000000,63078.12,,bank,Alicia,Medina,7429 Harris Dale,Dicksonburgh,LA,US,77674,Female,1972-07-19,695-17-4438,-136.211079,75.8793275
110,C_110,I,A,USD,false,1,0,1000000,73183.32,,bank,Mckenzie,Bryant,302 Joy Spring Apt. 622,Ryanhaven,CT,US,29335,Female,1997-08-24,454-30-4512,-78.668051,-63.053607
111,C_111,I,A,USD,false,1,0,1000000,82566.74,,bank,Dennis,Gross,8943 Tran Circles Apt. 619,New Melissamouth,FL,US,55886,Male,1933-10-21,780-23-1122,-37.696698,28.244160
112,C_112,I,A,USD,false,1,0,1000000,55093.11,,bank,Anne,Morales,049 Black Ports,Clarkborough,ID,US,11999,Female,1976-03-21,690-60-2752,-162.668940,-35.907116
113,C_113,I,A,USD,false,1,0,1000000,90438.80,,bank,Lindsey,Pierce,661 Alicia Forge,Davisville,HI,US,17569,Female,1977-12-31,655-80-7072,142.529016,16.0045125
114,C_114,I,A,USD,false,1,0,1000000,98439.41,,bank,Briana,Chavez,790 Reed Trafficway Apt. 037,New Evelyn,DE,US,01420,Female,1919-09-11,619-36-4752,30.551570,-1.672805
115,C_115,I,A,USD,false,1,0,1000000,55406.41,,bank,Joseph,Schultz,191 Wood Road Apt. 326,Port Andrew,OR,US,19372,Male,2007-11-11,694-19-1897,92.663937,-3.7065865
116,C_116,I,A,USD,false,1,0,1000000,75848.96,,bank,Dwayne,Stanley,3348 Curtis Street,Fosterberg,AL,US,10607,Male,1978-12-10,193-78-8017,7.863564,-48.2996555
117,C_117,I,A,USD,true,1,0,1000000,60445.79,,bank,Brian,Sanchez,3122 Moon Plain Suite 204,Berrystad,OK,US,13414,Male,1913-01-25,031-91-9656,-133.685782,34.997729
118,C_118,I,A,USD,false,1,0,1000000,58317.14,,bank,Sean,Mata,862 Colleen Springs Apt. 730,East Jasmine,MN,US,19409,Male,2022-09-12,782-76-2906,-143.539004,-61.651620
119,C_119,I,A,USD,false,1,0,1000000,55831.51,,bank,Victoria,Delgado,794 Braun Station Apt. 270,Marvinchester,WA,US,03407,Female,1936-02-24,795-12-9709,-102.692789,-23.466348
120,C_120,I,A,USD,false,1,0,1000000,78200.13,,bank,Mariah,Nelson,5046 Jennifer Stravenue,Bradshawport,MH,US,58848,Female,2016-03-31,663-34-5019,-134.535181,8.7634545
121,C_121,I,A,USD,false,1,0,1000000,52040.77,,bank,Ryan,Zimmerman,7048 Mcdonald Ville,East Mary,RI,US,14522,Male,1934-03-07,497-61-4338,96.697007,18.490419
122,C_122,I,A,USD,false,1,0,1000000,53773.51,,bank,Peggy,Anderson,2035 Erickson Wall Apt. 064,Christyborough,GA,US,54280,Female,1994-06-28,127-32-5858,73.606456,28.489189
123,C_123,I,A,USD,false,1,0,1000000,78255.36,,bank,Michelle,Henderson,6659 Valerie Point Suite 210,Penabury,ID,US,84003,Female,1999-03-01,862-38-9844,-88.507324,-9.100916
124,C_124,I,A,USD,false,1,0,1000000,56055.87,,bank,Sierra,Duncan,502 Christopher Terrace,Shaunborough,WI,US,49585,Female,1942-11-06,559-22-7369,34.921881,-86.0126135
125,C_125,I,A,USD,false,1,0,1000000,66850.85,,bank,Melinda,Wallace,3481 Oneal Cove,Joybury,ND,US,15084,Female,1929-10-22,477-34-2750,56.146482,63.2612325
126,C_126,I,A,USD,false,1,0,1000000,86071.34,,bank,Tracy,Morrison,11416 Jonathan Lights Apt. 798,Jacobtown,IL,US,55672,Female,1945-10-23,356-66-5142,73.887236,78.8150735
127,C_127,I,A,USD,false,1,0,1000000,61911.29,,bank,Alex,Garcia,454 Jacob Forges Suite 505,Howellport,MN,US,32901,Male,2006-07-02,530-24-3240,28.667358,71.500087
128,C_128,I,A,USD,true,1,0,1000000,70030.16,,bank,Melissa,Everett,76775 James Ford,South Victorialand,MO,US,68528,Female,1962-05-15,629-36-3406,-137.740357,24.9100465
129,C_129,I,A,USD,false,1,0,1000000,50051.64,,bank,Jane,Newman,503 Decker Way Suite 784,North Christopherfurt,OK,US,54569,Female,2010-11-24,656-99-3805,-27.967109,40.112257
130,C_130,I,A,USD,true,1,0,1000000,50273.54,,bank,Patricia,Thompson,67741 Veronica Fort Suite 095,East Lydia,SC,US,09561,Female,1989-06-14,033-30-2933,-174.678756,85.611875
131,C_131,I,A,USD,false,1,0,1000000,96638.71,,bank,Elizabeth,Johnson,624 Alexander Place Apt. 272,Lake Darrylport,MO,US,40512,Female,2018-11-01,274-43-7559,-143.592750,-73.933686
132,C_132,I,A,USD,false,1,0,1000000,69062.07,,bank,Christopher,Wheeler,74836 Rodney Canyon Apt. 504,Brianton,KS,US,06150,Male,1930-04-16,482-84-1332,134.343013,-52.619566
133,C_133,I,A,USD,false,1,0,1000000,77099.82,,bank,Stephen,Fernandez,11913 Sarah Meadows,North Thomasmouth,HI,US,95807,Male,1926-01-23,876-48-6917,94.580400,-55.102993
134,C_134,I,A,USD,false,1,0,1000000,89795.23,,bank,Susan,Allen,831 Kemp Pines,Annashire,TN,US,51932,Female,2001-08-19,094-20-9912,37.482205,7.8044435
135,C_135,I,A,USD,false,1,0,1000000,71647.94,,bank,Ruth,Brennan,500 Douglas Streets Apt. 221,Navarroberg,RI,US,34677,Female,1930-09-09,673-45-5301,-72.569170,79.8648605
136,C_136,I,A,USD,false,1,0,1000000,58485.05,,bank,Amanda,Todd,45319 Michael Locks Apt. 468,Anthonymouth,AS,US,52153,Female,1980-05-08,277-21-4292,-154.941637,-18.1414305
137,C_137,I,A,USD,false,1,0,1000000,86543.09,,bank,Angela,Mitchell,604 Diana Viaduct Apt. 458,East Tylershire,KS,US,78265,Female,2001-09-04,695-06-4228,-177.213821,-81.935088
138,C_138,I,A,USD,false,1,0,1000000,89785.81,,bank,Kevin,Nixon,2639 Robin Bypass,South Nancy,NJ,US,59436,Male,2019-02-15,355-47-1918,-171.034924,22.4182105
